,RF
192607,0.22
192608,0.25
192609,0.23
192610,0.32
192611,0.31
192612,0.28
192701,0.25
192702,0.26
192703,0.3
192704,0.25
192705,0.3
192706,0.26
192707,0.3
192708,0.28
192709,0.21
192710,0.25
192711,0.21
192712,0.22
192801,0.25
192802,0.33
192803,0.29
192804,0.22
192805,0.32
192806,0.31
192807,0.32
192808,0.32
192809,0.27
192810,0.41
192811,0.38
192812,0.06
192901,0.34
192902,0.36
192903,0.34
192904,0.36
192905,0.44
192906,0.52
192907,0.33
192908,0.4
192909,0.35
192910,0.46
192911,0.37
192912,0.37
193001,0.14
193002,0.3
193003,0.35
193004,0.21
193005,0.26
193006,0.27
193007,0.2
193008,0.09
193009,0.22
193010,0.09
193011,0.13
193012,0.14
193101,0.15
193102,0.04
193103,0.13
193104,0.08
193105,0.09
193106,0.08
193107,0.06
193108,0.03
193109,0.03
193110,0.1
193111,0.17
193112,0.12
193201,0.23
193202,0.23
193203,0.16
193204,0.11
193205,0.06
193206,0.02
193207,0.03
193208,0.03
193209,0.03
193210,0.02
193211,0.02
193212,0.01
193301,0.01
193302,-0.03
193303,0.04
193304,0.1
193305,0.04
193306,0.02
193307,0.02
193308,0.03
193309,0.02
193310,0.01
193311,0.02
193312,0.02
193401,0.05
193402,0.02
193403,0.02
193404,0.01
193405,0.01
193406,0.01
193407,0.01
193408,0.01
193409,0.01
193410,0.01
193411,0.01
193412,0.01
193501,0.01
193502,0.02
193503,0.01
193504,0.01
193505,0.01
193506,0.01
193507,0.01
193508,0.01
193509,0.01
193510,0.01
193511,0.02
193512,0.01
193601,0.01
193602,0.01
193603,0.02
193604,0.02
193605,0.02
193606,0.03
193607,0.01
193608,0.02
193609,0.01
193610,0.02
193611,0.01
193612,0
193701,0.01
193702,0.02
193703,0.01
193704,0.03
193705,0.06
193706,0.03
193707,0.03
193708,0.02
193709,0.04
193710,0.02
193711,0.02
193712,0
193801,0
193802,0
193803,-0.01
193804,0.01
193805,0
193806,0
193807,-0.01
193808,0
193809,0.02
193810,0.01
193811,-0.06
193812,0
193901,-0.01
193902,0.01
193903,-0.01
193904,0
193905,0.01
193906,0.01
193907,0
193908,-0.01
193909,0.01
193910,0
193911,0
193912,0
194001,0
194002,0
194003,0
194004,0
194005,-0.02
194006,0
194007,0.01
194008,-0.01
194009,0
194010,0
194011,0
194012,0
194101,-0.01
194102,-0.01
194103,0.01
194104,-0.01
194105,0
194106,0
194107,0.03
194108,0.01
194109,0.01
194110,0
194111,0
194112,0.01
194201,0.02
194202,0.01
194203,0.01
194204,0.01
194205,0.03
194206,0.02
194207,0.03
194208,0.03
194209,0.03
194210,0.03
194211,0.03
194212,0.03
194301,0.03
194302,0.03
194303,0.03
194304,0.03
194305,0.03
194306,0.03
194307,0.03
194308,0.03
194309,0.03
194310,0.03
194311,0.03
194312,0.03
194401,0.03
194402,0.03
194403,0.02
194404,0.03
194405,0.03
194406,0.03
194407,0.03
194408,0.03
194409,0.02
194410,0.03
194411,0.03
194412,0.02
194501,0.03
194502,0.02
194503,0.02
194504,0.03
194505,0.03
194506,0.02
194507,0.03
194508,0.03
194509,0.03
194510,0.03
194511,0.02
194512,0.03
194601,0.03
194602,0.03
194603,0.03
194604,0.03
194605,0.03
194606,0.03
194607,0.03
194608,0.03
194609,0.03
194610,0.03
194611,0.03
194612,0.03
194701,0.03
194702,0.03
194703,0.03
194704,0.03
194705,0.03
194706,0.03
194707,0.03
194708,0.03
194709,0.06
194710,0.06
194711,0.06
194712,0.08
194801,0.07
194802,0.07
194803,0.09
194804,0.08
194805,0.08
194806,0.09
194807,0.08
194808,0.09
194809,0.04
194810,0.04
194811,0.04
194812,0.04
194901,0.1
194902,0.09
194903,0.1
194904,0.09
194905,0.1
194906,0.1
194907,0.09
194908,0.09
194909,0.09
194910,0.09
194911,0.08
194912,0.09
195001,0.09
195002,0.09
195003,0.1
195004,0.09
195005,0.1
195006,0.1
195007,0.1
195008,0.1
195009,0.1
195010,0.12
195011,0.11
195012,0.11
195101,0.13
195102,0.1
195103,0.11
195104,0.13
195105,0.12
195106,0.12
195107,0.13
195108,0.13
195109,0.12
195110,0.16
195111,0.11
195112,0.12
195201,0.15
195202,0.12
195203,0.11
195204,0.12
195205,0.13
195206,0.15
195207,0.15
195208,0.15
195209,0.16
195210,0.14
195211,0.1
195212,0.16
195301,0.16
195302,0.14
195303,0.18
195304,0.16
195305,0.17
195306,0.18
195307,0.15
195308,0.17
195309,0.16
195310,0.13
195311,0.08
195312,0.13
195401,0.11
195402,0.07
195403,0.08
195404,0.09
195405,0.05
195406,0.06
195407,0.05
195408,0.05
195409,0.09
195410,0.07
195411,0.06
195412,0.08
195501,0.08
195502,0.09
195503,0.1
195504,0.1
195505,0.14
195506,0.1
195507,0.1
195508,0.16
195509,0.16
195510,0.18
195511,0.17
195512,0.18
195601,0.22
195602,0.19
195603,0.15
195604,0.19
195605,0.23
195606,0.2
195607,0.22
195608,0.17
195609,0.18
195610,0.25
195611,0.2
195612,0.24
195701,0.27
195702,0.24
195703,0.23
195704,0.25
195705,0.26
195706,0.24
195707,0.3
195708,0.25
195709,0.26
195710,0.29
195711,0.28
195712,0.24
195801,0.28
195802,0.12
195803,0.09
195804,0.08
195805,0.11
195806,0.03
195807,0.07
195808,0.04
195809,0.19
195810,0.18
195811,0.11
195812,0.22
195901,0.21
195902,0.19
195903,0.22
195904,0.2
195905,0.22
195906,0.25
195907,0.25
195908,0.19
195909,0.31
195910,0.3
195911,0.26
195912,0.34
196001,0.33
196002,0.29
196003,0.35
196004,0.19
196005,0.27
196006,0.24
196007,0.13
196008,0.17
196009,0.16
196010,0.22
196011,0.13
196012,0.16
196101,0.19
196102,0.14
196103,0.2
196104,0.17
196105,0.18
196106,0.2
196107,0.18
196108,0.14
196109,0.17
196110,0.19
196111,0.15
196112,0.19
196201,0.24
196202,0.2
196203,0.2
196204,0.22
196205,0.24
196206,0.2
196207,0.27
196208,0.23
196209,0.21
196210,0.25
196211,0.2
196212,0.23
196301,0.25
196302,0.23
196303,0.23
196304,0.25
196305,0.24
196306,0.23
196307,0.27
196308,0.25
196309,0.27
196310,0.29
196311,0.27
196312,0.29
196401,0.3
196402,0.26
196403,0.31
196404,0.29
196405,0.26
196406,0.3
196407,0.3
196408,0.28
196409,0.28
196410,0.29
196411,0.29
196412,0.31
196501,0.28
196502,0.3
196503,0.36
196504,0.31
196505,0.31
196506,0.35
196507,0.31
196508,0.33
196509,0.31
196510,0.31
196511,0.35
196512,0.33
196601,0.38
196602,0.35
196603,0.38
196604,0.34
196605,0.41
196606,0.38
196607,0.35
196608,0.41
196609,0.4
196610,0.45
196611,0.4
196612,0.4
196701,0.43
196702,0.36
196703,0.39
196704,0.32
196705,0.33
196706,0.27
196707,0.31
196708,0.31
196709,0.32
196710,0.39
196711,0.36
196712,0.33
196801,0.4
196802,0.39
196803,0.38
196804,0.43
196805,0.45
196806,0.43
196807,0.48
196808,0.42
196809,0.43
196810,0.44
196811,0.42
196812,0.43
196901,0.53
196902,0.46
196903,0.46
196904,0.53
196905,0.48
196906,0.51
196907,0.53
196908,0.5
196909,0.62
196910,0.6
196911,0.52
196912,0.64
197001,0.6
197002,0.62
197003,0.57
197004,0.5
197005,0.53
197006,0.58
197007,0.52
197008,0.53
197009,0.54
197010,0.46
197011,0.46
197012,0.42
197101,0.38
197102,0.33
197103,0.3
197104,0.28
197105,0.29
197106,0.37
197107,0.4
197108,0.47
197109,0.37
197110,0.37
197111,0.37
197112,0.37
197201,0.29
197202,0.25
197203,0.27
197204,0.29
197205,0.3
197206,0.29
197207,0.31
197208,0.29
197209,0.34
197210,0.4
197211,0.37
197212,0.37
197301,0.44
197302,0.41
197303,0.46
197304,0.52
197305,0.51
197306,0.51
197307,0.64
197308,0.7
197309,0.68
197310,0.65
197311,0.56
197312,0.64
197401,0.63
197402,0.58
197403,0.56
197404,0.75
197405,0.75
197406,0.6
197407,0.7
197408,0.6
197409,0.81
197410,0.51
197411,0.54
197412,0.7
197501,0.58
197502,0.43
197503,0.41
197504,0.44
197505,0.44
197506,0.41
197507,0.48
197508,0.48
197509,0.53
197510,0.56
197511,0.41
197512,0.48
197601,0.47
197602,0.34
197603,0.4
197604,0.42
197605,0.37
197606,0.43
197607,0.47
197608,0.42
197609,0.44
197610,0.41
197611,0.4
197612,0.4
197701,0.36
197702,0.35
197703,0.38
197704,0.38
197705,0.37
197706,0.4
197707,0.42
197708,0.44
197709,0.43
197710,0.49
197711,0.5
197712,0.49
197801,0.49
197802,0.46
197803,0.53
197804,0.54
197805,0.51
197806,0.54
197807,0.56
197808,0.56
197809,0.62
197810,0.68
197811,0.7
197812,0.78
197901,0.77
197902,0.73
197903,0.81
197904,0.8
197905,0.82
197906,0.81
197907,0.77
197908,0.77
197909,0.83
197910,0.87
197911,0.99
197912,0.95
198001,0.8
198002,0.89
198003,1.21
198004,1.26
198005,0.81
198006,0.61
198007,0.53
198008,0.64
198009,0.75
198010,0.95
198011,0.96
198012,1.31
198101,1.04
198102,1.07
198103,1.21
198104,1.08
198105,1.15
198106,1.35
198107,1.24
198108,1.28
198109,1.24
198110,1.21
198111,1.07
198112,0.87
198201,0.8
198202,0.92
198203,0.98
198204,1.13
198205,1.06
198206,0.96
198207,1.05
198208,0.76
198209,0.51
198210,0.59
198211,0.63
198212,0.67
198301,0.69
198302,0.62
198303,0.63
198304,0.71
198305,0.69
198306,0.67
198307,0.74
198308,0.76
198309,0.76
198310,0.76
198311,0.7
198312,0.73
198401,0.76
198402,0.71
198403,0.73
198404,0.81
198405,0.78
198406,0.75
198407,0.82
198408,0.83
198409,0.86
198410,1
198411,0.73
198412,0.64
198501,0.65
198502,0.58
198503,0.62
198504,0.72
198505,0.66
198506,0.55
198507,0.62
198508,0.55
198509,0.6
198510,0.65
198511,0.61
198512,0.65
198601,0.56
198602,0.53
198603,0.6
198604,0.52
198605,0.49
198606,0.52
198607,0.52
198608,0.46
198609,0.45
198610,0.46
198611,0.39
198612,0.49
198701,0.42
198702,0.43
198703,0.47
198704,0.44
198705,0.38
198706,0.48
198707,0.46
198708,0.47
198709,0.45
198710,0.6
198711,0.35
198712,0.39
198801,0.29
198802,0.46
198803,0.44
198804,0.46
198805,0.51
198806,0.49
198807,0.51
198808,0.59
198809,0.62
198810,0.61
198811,0.57
198812,0.63
198901,0.55
198902,0.61
198903,0.67
198904,0.67
198905,0.79
198906,0.71
198907,0.7
198908,0.74
198909,0.65
198910,0.68
198911,0.69
198912,0.61
199001,0.57
199002,0.57
199003,0.64
199004,0.69
199005,0.68
199006,0.63
199007,0.68
199008,0.66
199009,0.6
199010,0.68
199011,0.57
199012,0.6
199101,0.52
199102,0.48
199103,0.44
199104,0.53
199105,0.47
199106,0.42
199107,0.49
199108,0.46
199109,0.46
199110,0.42
199111,0.39
199112,0.38
199201,0.34
199202,0.28
199203,0.34
199204,0.32
199205,0.28
199206,0.32
199207,0.31
199208,0.26
199209,0.26
199210,0.23
199211,0.23
199212,0.28
199301,0.23
199302,0.22
199303,0.25
199304,0.24
199305,0.22
199306,0.25
199307,0.24
199308,0.25
199309,0.26
199310,0.22
199311,0.25
199312,0.23
199401,0.25
199402,0.21
199403,0.27
199404,0.27
199405,0.31
199406,0.31
199407,0.28
199408,0.37
199409,0.37
199410,0.38
199411,0.37
199412,0.44
199501,0.42
199502,0.4
199503,0.46
199504,0.44
199505,0.54
199506,0.47
199507,0.45
199508,0.47
199509,0.43
199510,0.47
199511,0.42
199512,0.49
199601,0.43
199602,0.39
199603,0.39
199604,0.46
199605,0.42
199606,0.4
199607,0.45
199608,0.41
199609,0.44
199610,0.42
199611,0.41
199612,0.46
199701,0.45
199702,0.39
199703,0.43
199704,0.43
199705,0.49
199706,0.37
199707,0.43
199708,0.41
199709,0.44
199710,0.42
199711,0.39
199712,0.48
199801,0.43
199802,0.39
199803,0.39
199804,0.43
199805,0.4
199806,0.41
199807,0.4
199808,0.43
199809,0.46
199810,0.32
199811,0.31
199812,0.38
199901,0.35
199902,0.35
199903,0.43
199904,0.37
199905,0.34
199906,0.4
199907,0.38
199908,0.39
199909,0.39
199910,0.39
199911,0.36
199912,0.44
200001,0.41
200002,0.43
200003,0.47
200004,0.46
200005,0.5
200006,0.4
200007,0.48
200008,0.5
200009,0.51
200010,0.56
200011,0.51
200012,0.5
200101,0.54
200102,0.38
200103,0.42
200104,0.39
200105,0.32
200106,0.28
200107,0.3
200108,0.31
200109,0.28
200110,0.22
200111,0.17
200112,0.15
200201,0.14
200202,0.13
200203,0.13
200204,0.15
200205,0.14
200206,0.13
200207,0.15
200208,0.14
200209,0.14
200210,0.14
200211,0.12
200212,0.11
200301,0.1
200302,0.09
200303,0.1
200304,0.1
200305,0.09
200306,0.1
200307,0.07
200308,0.07
200309,0.08
200310,0.07
200311,0.07
200312,0.08
200401,0.07
200402,0.06
200403,0.09
200404,0.08
200405,0.06
200406,0.08
200407,0.1
200408,0.11
200409,0.11
200410,0.11
200411,0.15
200412,0.16
200501,0.16
200502,0.16
200503,0.21
200504,0.21
200505,0.24
200506,0.23
200507,0.24
200508,0.3
200509,0.29
200510,0.27
200511,0.31
200512,0.32
200601,0.35
200602,0.34
200603,0.37
200604,0.36
200605,0.43
200606,0.4
200607,0.4
200608,0.42
200609,0.41
200610,0.41
200611,0.42
200612,0.4
200701,0.44
200702,0.38
200703,0.43
200704,0.44
200705,0.41
200706,0.4
200707,0.4
200708,0.42
200709,0.32
200710,0.32
200711,0.34
200712,0.27
200801,0.21
200802,0.13
200803,0.17
200804,0.18
200805,0.18
200806,0.17
200807,0.15
200808,0.13
200809,0.15
200810,0.08
200811,0.03
200812,0
200901,0
200902,0.01
200903,0.02
200904,0.01
200905,0
200906,0.01
200907,0.01
200908,0.01
200909,0.01
200910,0
200911,0
200912,0.01
201001,0
201002,0
201003,0.01
201004,0.01
201005,0.01
201006,0.01
201007,0.01
201008,0.01
201009,0.01
201010,0.01
201011,0.01
201012,0.01
201101,0.01
201102,0.01
201103,0.01
201104,0
201105,0
201106,0
201107,0
201108,0.01
201109,0
201110,0
201111,0
201112,0
201201,0
201202,0
201203,0
201204,0
201205,0.01
201206,0
201207,0
201208,0.01
201209,0.01
201210,0.01
201211,0.01
201212,0.01
201301,0
201302,0
201303,0
201304,0
201305,0
201306,0
201307,0
201308,0
201309,0
201310,0
201311,0
