,Food,Beer,Smoke,Games,Books,Hshld,Clths,Hlth,Chems,Txtls,Cnstr,Steel,FabPr,ElcEq,Autos,Carry,Mines,Coal,Oil,Util,Telcm,Servs,BusEq,Paper,Trans,Whlsl,Rtail,Meals,Fin,Other
1991-04,3.07E-33,1.82E-171,8.40E-55,7.71E-56,4.72E-190,5.22E-278,3.98E-45,1.57E-100,4.24E-31,7.22E-23,8.78E-65,0.132732268,1.47E-100,2.59E-18,2.93E-70,1.88E-19,3.26E-12,1,3.41E-21,5.76E-41,1.45E-27,2.06E-39,1.10E-31,8.73E-44,1.31E-42,5.73E-24,3.94E-46,1.74E-75,4.81E-74,1.68E-43
1991-05,9.89E-110,3.74E-201,2.13E-28,3.18E-190,1.21E-230,1.95E-240,2.64E-53,9.52E-68,1.45E-52,1.22E-50,3.05E-98,2.22E-06,2.83E-95,1.46E-28,6.21E-53,7.56E-24,7.59E-65,1.03E-10,2.42E-177,1.32E-105,0.999997528,1.24E-46,1.63E-06,1.76E-155,3.64E-73,3.18E-76,3.98E-90,3.42E-187,6.43E-108,9.57E-53
1991-06,4.13E-162,3.08E-72,1.05E-119,2.45E-142,9.18E-66,5.81E-274,2.78E-40,1.52E-263,4.58E-41,3.78E-159,4.07E-89,4.81E-07,1.67E-78,6.17E-41,1.96E-36,9.78E-40,2.42E-86,1.82E-09,4.53E-116,1.08E-47,1.17E-31,1.47E-66,2.30E-105,2.33E-202,1.54E-52,7.84E-44,5.21E-13,9.68E-203,3.41E-66,1.04E-19
1991-07,1.36E-106,3.34E-10,3.67E-140,4.91E-12,1.40E-05,4.00E-100,6.50E-15,2.35E-118,7.57E-123,1.75E-10,6.05E-39,1.22E-18,9.90E-79,8.17E-53,1,4.16E-11,4.34E-46,0,1.23E-106,3.21E-74,3.04E-37,1.49E-55,4.39E-91,1.14E-75,8.84E-63,5.89E-72,2.53E-21,2.72E-68,1.10E-117,8.69E-161
1991-08,7.03E-11,2.92E-09,1,4.70E-24,1,7.57E-31,4.43E-103,0.999999997,1.68E-17,1.00E-67,5.65E-05,1,4.06E-09,7.68E-36,8.08E-10,0.004580838,5.37E-13,0.000171426,0.999556968,2.02E-24,6.03E-10,2.08E-17,3.12E-24,4.92E-13,2.82E-40,4.06E-10,9.26E-30,7.40E-28,5.19E-16,1.06E-06
1991-09,1.02E-32,4.51E-51,0.999989315,1.14E-23,1.47E-130,2.66E-28,2.44E-10,1.35E-07,0.001068749,1.72E-51,6.74E-43,0.999594546,7.47E-09,2.81E-06,1,9.18E-29,1.01E-33,4.91E-39,1,1.42E-61,2.54E-06,1.68E-90,1,3.60E-14,5.80E-97,0.99999998,1.67E-70,4.76E-97,2.13E-30,3.78E-05
1991-10,1.03E-165,0,0.9990975,1.11E-268,4.31E-282,5.52E-225,9.94E-89,3.42E-06,1.27E-55,1,1.78E-133,1.30E-119,1.63E-25,6.06E-88,7.28E-56,1.50E-94,1.80E-76,2.51E-97,0.999997156,2.48E-153,5.81E-18,8.54E-88,1.69E-68,1.76E-33,5.79E-63,1.33E-54,2.62E-88,0.999999979,6.10E-158,6.05E-43
1991-11,0.998056161,7.19E-40,0.00033574,5.13E-47,1.22E-140,9.92E-37,9.19E-10,2.31E-89,1.07E-55,1.89E-11,0.999999991,0.000612065,1,1.47E-30,0.999999258,0.898777243,1.29E-40,1.51E-38,1,0.950942238,0.045263462,1.34E-08,1.67E-96,1.01E-51,1,2.50E-12,6.50E-07,8.94E-98,0.986103619,7.94E-38
1991-12,0.999984722,0.999947238,0.999999997,3.35E-29,1.87E-140,0.999999998,9.32E-47,0.002580168,2.77E-18,1.12E-72,3.20E-13,2.78E-33,8.73E-17,1.78E-06,5.09E-09,1.11E-23,1.41E-20,8.14E-104,1,3.69E-10,1,2.27E-16,0.884205684,4.68E-06,0.013805033,5.18E-30,4.56E-50,5.70E-39,9.22E-07,6.73E-27
1992-01,8.99E-09,9.44E-17,1,1.29E-05,1,0.002559207,0.009375994,0.000174922,4.21E-31,1,1,5.83E-20,5.45E-14,1,1.74E-05,5.39E-24,3.39E-15,1.40E-113,3.17E-19,1.03E-29,0.922548308,1.15E-05,1,1,1,7.97E-06,0.006049062,1.64E-05,0.999328573,2.42E-31
1992-02,1.05E-08,1,1,0.084881646,1,0.999997239,0.999690964,2.35E-07,0.999999995,0.375177307,1,0.999999995,1,6.14E-31,0.9997751,1.19E-12,0.989664038,1.15E-92,0.999999754,3.28E-38,0.055669581,1.90E-20,1.16E-09,3.16E-08,1.95E-10,0.008436519,0.82342212,0.002776552,1.51E-09,1
1992-03,0.025962363,1,1,0.999999993,0.008057887,0.000104694,6.41E-12,2.33E-67,0.000730531,0.005945349,0.001152696,1.98E-08,0.999998882,4.38E-12,1,1.79E-05,1,1.86E-25,0.995948791,3.99E-50,0.022333785,0.78424705,0.997095973,1,1,0.0001434,4.34E-09,8.36E-17,6.78E-33,0.000193251
1992-04,3.71E-06,6.58E-10,3.59E-17,0.000122878,3.92E-11,1.41E-24,1,1.53E-98,0.094780552,1.48E-34,0.018689705,8.35E-09,3.26E-15,1,0.999999983,0.999916059,1,1,5.28E-06,2.55E-08,2.48E-19,0.000115146,1.25E-16,3.78E-13,2.76E-21,2.00E-06,4.21E-17,9.97E-57,1.16E-61,0.001272163
1992-05,0.999999827,5.25E-18,1,0.99999994,5.43E-89,0.999999842,0.999556879,9.39E-06,0.999999826,0.999999988,1,0.000469362,0.999989165,0.001483599,2.64E-13,1,3.77E-22,1,1,0.000548702,0.110479426,0.999999997,1,1,8.04E-07,1,0.999999992,0.99999455,4.06E-48,2.51E-66
1992-06,1.12E-18,7.90E-43,1,0.999999943,7.84E-137,0.99999999,1.59E-24,7.62E-19,8.01E-20,0.038863159,0.998398161,1,2.77E-09,1.61E-12,1,2.52E-12,4.05E-14,1,1,1.44E-08,0.205321816,0.999830565,1,4.76E-56,8.22E-27,0.999996034,0.999976707,2.98E-28,1.40E-26,2.81E-07
