,Food,Beer,Smoke,Games,Books,Hshld,Clths,Hlth,Chems,Txtls,Cnstr,Steel,FabPr,ElcEq,Autos,Carry,Mines,Coal,Oil,Util,Telcm,Servs,BusEq,Paper,Trans,Whlsl,Rtail,Meals,Fin,Other
1991-04,3.0715648697630434e-33,1.81880643686634e-171,8.401118823143223e-55,7.707782065832649e-56,4.723568596421261e-190,5.2178168387013854e-278,3.9818233320323036e-45,1.5722862651308308e-100,4.237804327843535e-31,7.222162216869806e-23,8.78195689400261e-65,0.13273226759839568,1.46650217830807e-100,2.589261597524393e-18,2.9301381240159145e-70,1.8777271115071395e-19,3.2645185054511213e-12,1.0,3.4145179051923125e-21,5.758561170760533e-41,1.4537085253223558e-27,2.0606078113752593e-39,1.0981804971118815e-31,8.729549971131528e-44,1.3052147056852711e-42,5.7304142951560905e-24,3.9356836444397425e-46,1.738214994594389e-75,4.809223180556446e-74,1.6752978722648018e-43
1991-05,9.893733460862776e-110,3.736533985775192e-201,2.1297139809068637e-28,3.178917444933245e-190,1.210105582623201e-230,1.9498721200697935e-240,2.6398743272988595e-53,9.51591904017615e-68,1.4508362174851338e-52,1.2155252778887237e-50,3.048997947049266e-98,2.223092664179056e-06,2.8277680742061546e-95,1.4621382928800057e-28,6.2081313213440345e-53,7.556002389424766e-24,7.5866580931034365e-65,1.0286357581831286e-10,2.417280883508802e-177,1.3172616612197678e-105,0.9999975282009519,1.2402128260474195e-46,1.632319005033971e-06,1.7628653949257675e-155,3.635218906806294e-73,3.1795172985224824e-76,3.975880879062868e-90,3.4205691116289816e-187,6.431877357357213e-108,9.570506762901166e-53
1991-06,4.129159017520925e-162,3.0821344467675973e-72,1.0455607789013549e-119,2.4496333262314547e-142,9.18307772664466e-66,5.814246072494911e-274,2.775557375396822e-40,1.5215565610704784e-263,4.583853944026297e-41,3.7803955592010077e-159,4.072092211008802e-89,4.812108648913591e-07,1.6656402520182782e-78,6.170503598288573e-41,1.9566929104893655e-36,9.782128906913123e-40,2.4231392968641504e-86,1.8179571235834558e-09,4.530545409325297e-116,1.0818377389264707e-47,1.166720039678867e-31,1.4706146160292024e-66,2.2970042636022898e-105,2.327051518805514e-202,1.5397007273086799e-52,7.837984302087879e-44,5.206539322385349e-13,9.68357708882474e-203,3.412376568631413e-66,1.0436720019723928e-19
1991-07,1.3607780638829838e-106,3.3377541009392164e-10,3.666721734748209e-140,4.911078606030574e-12,1.3975461748186181e-05,3.997314521090655e-100,6.5018950923539786e-15,2.354607989285329e-118,7.566470337873972e-123,1.748895564232214e-10,6.054531844708934e-39,1.2163472250257755e-18,9.896343894865861e-79,8.1696601304821945e-53,0.9999999999999751,4.157374760574043e-11,4.341563515046406e-46,0.0,1.2310797799763198e-106,3.2087203096369757e-74,3.037180480546479e-37,1.4881775183081434e-55,4.3858551279666523e-91,1.1388676649883598e-75,8.835907988477522e-63,5.887288323775849e-72,2.529539020296305e-21,2.7154613804672467e-68,1.0989755275573907e-117,8.68894375757475e-161
1991-08,7.028883064623875e-11,2.9230806984675404e-09,1.0,4.704288883526269e-24,1.0,7.572471883828191e-31,4.430883380550061e-103,0.9999999967188709,1.68335636213471e-17,1.0022264793261806e-67,5.649248847053284e-05,0.9999999999999918,4.061746154219163e-09,7.680125781047846e-36,8.080178692859673e-10,0.004580838123118206,5.366444997173642e-13,0.0001714255086635187,0.9995569680701367,2.0211521953872793e-24,6.028305549403921e-10,2.0755403253547213e-17,3.1245095510493092e-24,4.918136272487504e-13,2.8214624180438293e-40,4.059524906275075e-10,9.261565002267436e-30,7.399990338752242e-28,5.1884232220229e-16,1.060991919772879e-06
1991-09,1.0224163762856765e-32,4.514683627968302e-51,0.999989315409359,1.140709813850734e-23,1.4704310932982788e-130,2.6634402784658365e-28,2.441174595070365e-10,1.349981750949842e-07,0.0010687493148521714,1.719220385193628e-51,6.739614979938494e-43,0.9995945463160467,7.465431836926512e-09,2.8121886315889622e-06,1.0,9.18324131075883e-29,1.0147873877639149e-33,4.908186832942181e-39,0.9999999997353761,1.4155848521010615e-61,2.5415679755857016e-06,1.6789202209162875e-90,1.0,3.599992959734622e-14,5.802197443385633e-97,0.9999999797358454,1.669185355061998e-70,4.761175939476986e-97,2.129633962109522e-30,3.783419915901518e-05
1991-10,1.0294733221829283e-165,0.0,0.9990974998848589,1.1072900012237402e-268,4.3148345513004606e-282,5.521227588330384e-225,9.941399631690168e-89,3.4162519904368436e-06,1.2678758057872877e-55,0.9999999997895279,1.776866499874555e-133,1.296141171835359e-119,1.632097497523911e-25,6.058758420783902e-88,7.282490425021974e-56,1.4991830182737775e-94,1.7953458086077206e-76,2.511233856159475e-97,0.9999971561725929,2.481074893468378e-153,5.80647853790985e-18,8.541289030616643e-88,1.6905501010816312e-68,1.763188580597206e-33,5.79149332194862e-63,1.333498008685903e-54,2.6216781072977236e-88,0.9999999789982561,6.101254271021622e-158,6.0542716625865416e-43
1991-11,0.998056160652502,7.188539285453542e-40,0.00033574018629326175,5.125978879366994e-47,1.2220131413209353e-140,9.91645269496415e-37,9.186484661533792e-10,2.3051012970168966e-89,1.0662339120569312e-55,1.8922136859378243e-11,0.9999999909876696,0.0006120649748136968,0.9999999999969031,1.4710583006737958e-30,0.9999992581419151,0.8987772432662519,1.2944568452973423e-40,1.507082918256378e-38,0.9999999999999942,0.9509422378393722,0.045263461648212926,1.3432410070055422e-08,1.6731642695473302e-96,1.0093028834247168e-51,1.0,2.496332191752069e-12,6.50147156614577e-07,8.941829270096542e-98,0.9861036185493511,7.940205500803392e-38
1991-12,0.9999847218101449,0.9999472382770692,0.9999999972516509,3.345695958886928e-29,1.8679293633969798e-140,0.999999997787731,9.31836112816334e-47,0.0025801681090016054,2.768321171603233e-18,1.1219470326711227e-72,3.204212495298297e-13,2.7808390897780926e-33,8.725948515934489e-17,1.7827559076114777e-06,5.088863415370857e-09,1.1125578392910382e-23,1.4066583195286512e-20,8.13610888727643e-104,0.9999999997734128,3.688735925912005e-10,1.0,2.2712584415263447e-16,0.8842056835022909,4.67931108871578e-06,0.013805033160340286,5.1770183654380516e-30,4.557211825316625e-50,5.703149638576544e-39,9.220216590469294e-07,6.72885008214801e-27
1992-01,8.990017546951344e-09,9.440668767446166e-17,1.0,1.2908886251952755e-05,1.0,0.0025592069664331454,0.009375994302880096,0.0001749217338551069,4.210962281819881e-31,1.0,0.999999999999972,5.834873051949441e-20,5.4465873716885336e-14,0.9999999999999887,1.738627243916298e-05,5.390115513290108e-24,3.386290509745444e-15,1.4018345658319213e-113,3.173744491742491e-19,1.0331840722645073e-29,0.9225483080760034,1.154284180966582e-05,0.9999999999998965,1.0,1.0,7.96574471140792e-06,0.006049062323383315,1.6403220675648316e-05,0.9993285731093671,2.4159953462408116e-31
