,Food ,Beer ,Smoke,Games,Books,Hshld,Clths,Hlth ,Chems,Txtls,Cnstr,Steel,FabPr,ElcEq,Autos,Carry,Mines,Coal ,Oil  ,Util ,Telcm,Servs,BusEq,Paper,Trans,Whlsl,Rtail,Meals,Fin  ,Other
192607,0.86,-5.36,1.67,2.31,26.28,2.45,-0.68,2.45,1.01,0.41,2.96,3.05,3.49,1.62,3.06,0.43,4.77,-1.06,-2.4,4.85,1.31,7.76,3.13,1.29,-0.88,-20.23,1.78,1.69,-0.38,2.61
192608,3.7,19.25,5.01,2.53,21.18,-2.86,4.79,6.11,3.02,2.53,1.19,-0.58,7.08,3.5,1.12,3.95,-0.26,3.64,4.55,-2,1.08,4.2,1.2,4,5.05,9.42,-0.45,-0.9,8.54,3.48
192609,1.38,5.63,3.1,4.13,-2.04,1.76,-6.16,0.8,2.4,-3.8,-2.64,2.28,0.78,1.97,-4.86,1.99,0.23,3.56,-4.85,2.06,0.22,-6.28,-0.89,-6.64,-0.24,0.32,-0.87,-0.14,-3.35,-0.18
192610,-4.7,-6.08,-1.63,-5.76,8.33,-2.98,-1.12,0.13,-8.77,1.87,-5.66,-4.98,-3.74,-5.62,-8.88,-5.41,0.44,14.99,0.32,-2.98,-0.99,-4.1,-5.88,-4.9,-2.28,-6.21,-3.33,-2.05,-5.39,-6.39
192611,6.74,11.29,9.58,0.28,-5.98,1.65,0.85,7.2,5.34,4.21,1.33,1.81,-1.85,1.12,-1.62,6.86,5.27,-6.1,3.06,5.71,1.48,-3.62,1.65,2.6,0.45,-0.26,1.34,1.92,0.25,-0.41
192612,-1.11,-5.43,2.56,2.6,-0.61,2.2,1.63,0.42,3.87,2.92,2.5,2.17,4.18,-1.06,5.74,8.56,0.1,-3.98,6.62,1.72,1.62,4.2,5.42,-3.28,1.27,1.4,2.8,3.34,2.2,-0.95
192701,-1.66,-3.33,-1.37,1.94,7.1,2.31,1.75,6.13,0.18,-4,-3.59,0.13,6.27,-0.31,-1.75,-0.21,2.85,-1.72,4.73,-0.44,0.13,1.37,1.63,-2.05,7.41,-9.06,-2.63,1.85,-2.71,-3.7
192702,3.08,19.11,4.72,1.25,4.3,4.48,1.71,2.47,5.58,0.99,3.9,8.23,5.67,7.95,6.99,6.41,5.37,2.31,4.61,4.88,6.98,7.77,8.92,3.9,9.29,9.1,4.05,9.5,3.43,0.44
192703,-4.35,-8.69,1.26,0.64,-2.57,-0.36,-0.85,-0.2,-3.76,-5.09,5.1,-3.19,-2.26,-5.21,-0.67,0.15,0.39,0.5,-11.03,2.19,1.35,-4.99,4.13,-5.64,-0.07,29.55,-1.3,-0.98,-1.4,-0.61
192704,0.37,-0.06,1.21,-3.41,0.56,0.09,1.57,5.8,2.72,3.06,2.85,-0.18,2.67,-1,-1.58,4.35,2.98,-0.21,-4.66,1.69,0.58,2.24,6.83,3.99,1.22,-15.68,4.22,4.09,1.23,4.81
192705,7.15,23.04,5.55,-0.02,1.71,9.39,8.72,4.79,2.96,5.57,7.66,4.46,6.1,2.83,3.78,13.39,-2.16,19.62,5.06,9.29,1.6,13.72,3.63,9.04,11.42,-5.3,2.26,3.76,7.46,3.22
192706,-2.88,15.97,0.3,-5.5,6.59,-5,-5.13,3.64,4.67,-3.31,-1.56,-5.9,-0.73,1.29,-6.71,-5.41,-2.69,-9.01,1.44,-3.3,-2.63,-21.88,2.01,-2.34,0.35,-5.69,-2.04,0.55,-1.38,-6.36
192707,5.27,6.63,7.03,-0.67,1.4,1.76,10.36,8.59,7.1,7.05,4.57,8.52,5.77,5.79,9.36,6.26,10.54,6.04,1.44,4.18,4.36,28.88,10.25,12.77,2.84,17.28,5.68,2.67,2.83,4.85
192708,2.2,-5.44,0.44,2.07,3.39,0.82,1.6,0.15,2.8,-1.37,-4.23,0.42,-0.71,0.31,1.21,5.67,1.18,3.86,-3.1,6.17,1.31,0.48,-4.91,0.69,-3.23,-3.47,3.63,2.27,2.72,6.33
192709,2.89,11.71,3.18,0.16,5.79,1.53,2.68,6,0,1.63,0.9,0.02,-0.54,4.45,1.98,-0.81,5.52,-1.95,5.13,9.42,5.2,6.69,4,6.5,3.76,0.59,4.04,4.42,4.27,-0.93
192710,-2.58,0.5,-0.28,-1.15,-1.44,-2.49,4.13,5.15,-4.19,-6.49,-2.36,-7.35,-1.7,-2.71,-4.98,-4.49,-3.25,-11.62,-3.11,-4.68,-2.33,1.1,-5.77,-0.81,-6.63,-10.74,-3.69,-1.3,1.21,-1.13
192711,9.61,7.12,9.44,2.32,11.24,1.98,3.5,5.05,10.99,1.54,4.59,23.3,11.62,17.16,14.61,7.94,18.07,13.81,9.06,5.96,3.66,0.39,11.23,8.96,6.28,-0.55,11.07,1.32,7.54,13.61
192712,6.4,6.2,0.86,-3.92,3.21,9.24,-1.34,-1.42,7.33,1.34,2.57,6.94,2.46,-0.92,6.54,6.07,8.69,-6.61,2.02,1.8,3.42,-2.53,4.02,-0.63,-0.56,3.43,2.01,1.08,8.75,1.37
192801,4.64,1.85,2.17,-3.33,3.87,4.21,8.26,1.45,1.46,2.65,7.58,7.35,5.87,1.13,-1.69,0.35,17.85,-8.98,1.18,8.76,-1.85,17.99,2.85,1.72,-0.74,4.47,4.69,-0.55,4.21,7.74
192802,-2.26,-9.52,-4.13,-1.83,-0.98,1.26,-3.14,-1.89,-2.11,1.63,0.97,-2.17,-3.57,-0.01,-5.12,-3.79,-1.98,-3.8,-1.67,-1.63,-0.38,-4.71,0.21,-0.59,-3.38,-11.93,-0.44,-1.72,-3.92,-2.24
192803,4.48,22.35,5.11,7.79,11.52,8.86,0.26,8.96,7.59,5.81,4.83,8.16,3.49,20.23,14.72,7.85,10.13,1.69,7.09,4.95,3.2,6.83,2.84,4.74,5.37,17.35,5.56,4.28,7.68,4.28
192804,5.24,5.43,-1.56,0.25,11.28,2.51,10.54,3.36,5.95,-2.89,6.51,5.12,21.6,6.37,4.21,7.92,5.15,2.76,30.58,10.94,2.41,7.43,2.44,6.35,7.71,-2.94,6.76,-0.17,14.02,6.25
192805,4.17,7.84,0.6,17.08,12.07,-3.23,-1.24,7.21,1.13,2.93,3.06,10.03,1.17,15.63,10.76,-2.38,8.49,6.57,-5.36,1.7,6.53,0.23,5.83,-2.13,2.23,11.12,3.48,9.33,4.81,0.63
192806,-7.29,-5.36,-6.35,-9.58,-11.53,-9.15,-8.49,-1.46,-5.71,-7.82,-8.06,-8.2,-3.87,-5.38,-12.88,-7,-10.43,-7.09,-5.94,-3.82,-6.27,10.48,-3.81,-7.77,-4.99,3.86,-5.9,-3.83,-8.05,-7.6
192807,-0.01,0.75,2.17,-0.12,1.67,-1.78,-1.2,-0.81,2.56,-1.41,-2.14,-0.14,-0.43,-2.15,1.76,-3.41,-1.09,-0.74,2.25,-1.09,-0.08,1.16,4.16,2.35,-1.13,-4.59,4.97,-0.26,0.22,0.14
192808,6.51,14.36,7.15,13.61,2.55,7.25,0.67,9.38,6.92,-1.23,3.28,10.89,2.99,10.78,13.93,5.58,4.34,-4.9,2.11,5.72,2.33,-0.89,-3.58,-0.27,3.26,6.32,7.98,9.76,5.55,7.63
192809,2.58,-1.78,0.88,8.62,-0.62,7.77,0.63,-0.06,5.85,8.76,5.77,10.06,8.56,4.5,8.55,6.01,5.96,2.93,8.44,4.94,0.5,0.82,1.04,4.66,1.83,4.31,3.21,2.94,3.73,-3.95
192810,-0.15,2.08,8.22,-1.06,4.04,2.1,-0.91,0.25,-0.98,13.42,2.49,6.04,-0.11,0.65,0.83,-5.48,6.48,-4.22,3.56,-2.22,7.54,-0.56,3.8,-5.11,-2.64,9.46,4.98,-1.36,4.13,-4.07
192811,10.9,6.56,5.31,18.18,2.45,17.18,3.8,3.51,11.67,9.53,8.83,16.23,13.71,16.69,12.75,13.9,10.29,13.55,14.81,18.29,8.89,7.69,9.83,3.31,9.66,23.64,9.18,9.37,11.31,2.23
192812,-1.49,-5.54,5.41,-3.74,-0.87,-4.38,-2.71,-0.48,3.02,-4.04,-0.76,1.91,6.93,2.74,4.6,-0.37,-0.54,-0.58,-8.36,2.32,-2.12,-6.86,5.19,-1.53,-1.64,-2.79,0.76,-2.3,-0.85,1.82
192901,3.13,6.04,1.44,6.7,0.66,-0.05,-1.63,4.61,11.47,3.27,6.48,5.85,4.59,7.85,2.87,3.49,3.55,-1.16,-7.27,15.63,7.86,-2.25,6.52,6.57,5.43,-2.95,-2.06,-1.24,10.37,1.58
192902,-2.56,-2.48,-1.72,0.32,-3.56,-1.47,-3.74,-0.07,-0.51,5.77,-0.97,7.73,7.12,7.96,-0.65,-1.81,6.8,8.26,-0.42,-1.52,-1.51,6.51,1.41,-1.42,-1.57,-5.47,-0.45,1.12,5.15,-3.23
192903,-5.88,-1.28,-3.97,-13.6,-7.44,-5.69,-6.93,-0.5,-3.49,-6.37,-4.1,-1.87,-5.87,9.63,-6.34,5.81,-5.06,-12.97,8.69,-2.13,10.14,-2.51,-1.22,-5.39,-4.48,-12.66,-5.33,-4.08,-0.37,-5.25
192904,2.8,10,-3.3,-1.55,2.06,-0.1,3.96,2.42,5.26,5.28,5.72,-0.48,3.03,3.75,-3.07,0.26,-6.21,-2.39,2,4.06,-2.6,26.86,6.17,0.21,1.59,3.52,-0.8,9.73,1.9,-5.28
192905,-7.55,-13.9,-6.15,-11.38,2.13,-11.19,-7.7,-6.92,-7.11,-12.86,-12.57,-14.42,-11.83,-4.19,-16.2,-12.08,-16.27,-8.81,-8.21,2.77,-7.24,-13.26,-4.65,-15.35,-3.66,-5.28,-9.91,-4.02,-6.92,-7.24
192906,6.02,11.61,-0.05,2.89,8.53,14.25,7.35,4.73,17.27,-0.1,5.31,11.37,13.62,13.35,7.6,8.86,6.73,2.71,3.06,22.76,6.37,10.75,13.45,18.47,4.4,-1.88,6.68,17.46,9.55,-0.66
192907,6.04,1.87,0.7,-6.51,0.66,2.77,-7.82,3.11,1.19,-4.98,0.67,3.37,3.35,5.99,-4.62,3.11,-3.16,10.8,-0.58,7.56,10.42,10.84,7.47,3.99,4.35,-3.44,1.16,-0.48,6.03,2.95
192908,-1.07,3.66,0.72,6.03,3.13,-0.14,3.59,-0.54,6.7,-2.5,1.3,5.16,4.6,6.71,-3.41,-1.91,8,-0.66,4.17,10.33,5.06,-9.74,7.29,3.81,2.71,7.84,3.85,4.56,3.93,-0.94
192909,-1.91,-5.58,-8.43,-1.55,-3.5,-2.92,-3.22,-5.78,1.15,-5.08,-4.95,-5.85,-3.18,-4.43,-12.21,-9,-7.43,2.58,-5.32,2.5,-2.88,16.33,1.38,-5.01,-4.88,-0.39,-3.92,-2.75,-4.78,-4.57
192910,-16.83,-24.49,-15.55,-15.58,-9.65,-20.54,-17.08,-17.09,-25.92,-18.87,-21.47,-21.53,-24.39,-31.45,-30.63,-22.07,-14.47,-7,-18.56,-30.36,-11.92,-14.9,-17.68,-16.76,-13.46,-15.17,-24.74,-14.45,-19.1,-23.13
192911,-13.51,-13.71,-7.3,-25.19,-7.08,-13.63,-10.29,-4.68,-11.63,-19.03,-9.54,-15.72,-11.46,-21.2,-15.79,-7.81,-8.42,-18.58,-7.04,-12.47,-8.86,-17.49,-19.22,-10.46,-9.79,-12.6,-13.72,-6.17,-12.47,-8.97
192912,-3.09,2.67,-10.61,-15.44,-4.4,-5.75,-2.16,4.01,2.01,-10.49,-5.62,0.94,-3.79,3.66,-2.33,-4.57,-4.09,-13.92,-3.85,8.98,2.52,-7.74,5.03,-8.46,2.23,-0.87,-9.15,2.4,-4.92,-4.12
193001,6.74,1.96,21.31,20.1,2.04,17.9,5.2,2.39,9.34,16.05,14.31,13.25,17.06,7.84,15.2,11.35,11.28,13.23,2.29,5.52,3.66,-2.86,13.15,17.41,9.13,1.15,9.76,9.07,9.75,39.47
193002,2.51,-0.81,3.15,12.58,10.87,0.48,-0.95,5.5,8.86,9.1,5.06,1.42,3.95,7.99,6.39,9.87,2.62,0.05,-3.96,9.11,5.48,5.5,5.99,7.79,2.2,1.59,-1.91,2.74,5.43,-3.7
